asset_id,type,uri
projects/akveg-map/assets/covariates_v20240711/January_MinimumTemperature_2006_2015_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/January_MinimumTemperature_2006_2015_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/Position_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/Position_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/Precipitation_MeanAnnual_2006_2015_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/Precipitation_MeanAnnual_2006_2015_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/RadiationAspect_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/RadiationAspect_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/Relief_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/Relief_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/RiverDist_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/RiverDist_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/Roughness_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/Roughness_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/Slope_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/Slope_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/StreamDist_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/StreamDist_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/SummerWarmth_MeanAnnual_2006_2015_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/SummerWarmth_MeanAnnual_2006_2015_10m_3338.tif
projects/akveg-map/assets/covariates_v20240711/Wetness_10m_3338,IMAGE,gs://akveg-data/covariates_v20240711/Wetness_10m_3338.tif
projects/akveg-map/assets/covariates_v20260118/JanuaryMinimum_2006_2015_10m_3338,IMAGE,gs://akveg-data/covariates_v20260118/JanuaryMinimum_2006_2015_10m_3338.tif
projects/akveg-map/assets/covariates_v20260118/Precipitation_2006_2015_10m_3338,IMAGE,gs://akveg-data/covariates_v20260118/Precipitation_2006_2015_10m_3338.tif
projects/akveg-map/assets/covariates_v20260118/SummerWarmth_2006_2015_10m_3338,IMAGE,gs://akveg-data/covariates_v20260118/SummerWarmth_2006_2015_10m_3338.tif
projects/akveg-map/assets/validation_v20240729/AlaskaYukon_100_Tiles_3338,IMAGE,gs://akveg-data/validation_v20240729/AlaskaYukon_100_Tiles_3338.tif
