processor,OBJECTID,V,H,dimensions_km,grid_code,xmin,ymin,xmax,ymax,centroid_latitude_dd,centroid_longitude_dd,Shape_Length,Shape_Area,dist_full,dist_boreal,dist_south,dist_temp
1,1,1,42,50x50,AK050H042V001,-149995,2350005,-99995,2400005,71.3449262,-157.4144275,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,2,1,43,50x50,AK050H043V001,-99995,2350005,-49995,2400005,71.36382721,-156.0497577,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,3,1,44,50x50,AK050H044V001,-49995,2350005,5.000000004,2400005,71.37328416,-154.6833544,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,5,2,40,50x50,AK050H040V002,-249995,2300005,-199995,2350005,70.82220598,-160.0109604,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,6,2,41,50x50,AK050H041V002,-199995,2300005,-149995,2350005,70.85903455,-158.6802071,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,7,2,42,50x50,AK050H042V002,-149995,2300005,-99995,2350005,70.88670044,-157.3456788,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,8,2,43,50x50,AK050H043V002,-99995,2300005,-49995,2350005,70.90516544,-156.0084412,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,9,2,44,50x50,AK050H044V002,-49995,2300005,5.000000004,2350005,70.9144039,-154.6695726,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,10,2,45,50x50,AK050H045V002,5.000000004,2300005,50005,2350005,70.91440298,-153.3301596,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,11,2,46,50x50,AK050H046V002,50005,2300005,100005,2350005,70.90516266,-151.9912912,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,14,3,38,50x50,AK050H038V003,-349995,2250005,-299995,2300005,70.26800935,-162.4877001,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,15,3,39,50x50,AK050H039V003,-299995,2250005,-249995,2300005,70.32178538,-161.192981,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,16,3,40,50x50,AK050H040V003,-249995,2250005,-199995,2300005,70.36670631,-159.89275,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,17,3,41,50x50,AK050H041V003,-199995,2250005,-149995,2300005,70.40271385,-158.5879743,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,18,3,42,50x50,AK050H042V003,-149995,2250005,-99995,2300005,70.42976093,-157.2796418,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,19,3,43,50x50,AK050H043V003,-99995,2250005,-49995,2300005,70.44781192,-155.9687569,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,20,3,44,50x50,AK050H044V003,-49995,2250005,5.000000004,2300005,70.45684295,-154.6563357,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,21,3,45,50x50,AK050H045V003,5.000000004,2250005,50005,2300005,70.45684205,-153.3434017,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,22,3,46,50x50,AK050H046V003,50005,2250005,100005,2300005,70.44780921,-152.0309808,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,23,3,47,50x50,AK050H047V003,100005,2250005,150005,2300005,70.42975642,-150.7200962,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,24,3,48,50x50,AK050H048V003,150005,2250005,200005,2300005,70.40270755,-149.4117643,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,25,3,49,50x50,AK050H049V003,200005,2250005,250005,2300005,70.36669821,-148.1069894,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,26,3,50,50x50,AK050H050V003,250005,2250005,300005,2300005,70.32177551,-146.8067595,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,27,3,51,50x50,AK050H051V003,300005,2250005,350005,2300005,70.26799772,-145.5120416,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,28,3,52,50x50,AK050H052V003,350005,2250005,400005,2300005,70.20543388,-144.2237781,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,29,3,53,50x50,AK050H053V003,400005,2250005,450005,2300005,70.13416338,-142.9428824,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,30,3,54,50x50,AK050H054V003,450005,2250005,500005,2300005,70.05427542,-141.6702356,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,32,3,56,50x50,AK050H056V003,550005,2250005,600005,2300005,69.86904961,-139.1530331,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,34,4,37,50x50,AK050H037V004,-399995,2200005,-349995,2250005,69.75451211,-163.5890854,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,35,4,38,50x50,AK050H038V004,-349995,2200005,-299995,2250005,69.81573728,-162.3248827,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,36,4,39,50x50,AK050H039V004,-299995,2200005,-249995,2250005,69.86835741,-161.0545864,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,37,4,40,50x50,AK050H040V004,-249995,2200005,-199995,2250005,69.91230797,-159.7790878,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,38,4,41,50x50,AK050H041V004,-199995,2200005,-149995,2250005,69.94753451,-158.4993011,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
