top_absence,abundance,type,lifeform,target_abbr,target,constituents
TRUE,TRUE,diagnostic species set,1. needleleaf tree,calnoo,Callitropsis nootkatensis,Callitropsis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,calnoo,Callitropsis nootkatensis,Callitropsis nootkatensis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,larlar,Larix laricina,Larix
TRUE,TRUE,diagnostic species set,1. needleleaf tree,larlar,Larix laricina,Larix laricina
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Abies
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Abies amabilis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Abies lasiocarpa
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Callitropsis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Callitropsis nootkatensis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Larix
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Larix laricina
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Picea
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Picea ×lutzii
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Picea glauca
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Picea mariana
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Picea sitchensis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Pinus
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Pinus contorta
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Pinus contorta var. contorta
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Pinus contorta var. latifolia
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Taxus
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Taxus brevifolia
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Thuja
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Thuja plicata
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Tsuga
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Tsuga heterophylla
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,Tsuga mertensiana
TRUE,TRUE,diagnostic species set,1. needleleaf tree,neetre,needleleaf trees,tree needleleaf
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picgla,Picea glauca - ×lutzii,Picea ×lutzii
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picgla,Picea glauca - ×lutzii,Picea glauca
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picmar,Picea mariana,Picea mariana
TRUE,TRUE,diagnostic species set,1. needleleaf tree,picsit,Picea sitchensis,Picea sitchensis
TRUE,TRUE,diagnostic species set,1. needleleaf tree,tsuhet,Tsuga heterophylla,Tsuga heterophylla
TRUE,TRUE,diagnostic species set,1. needleleaf tree,tsumer,Tsuga mertensiana,Tsuga mertensiana
TRUE,TRUE,diagnostic species set,2. broadleaf tree,bettre,Betula trees,Betula kenaica
TRUE,TRUE,diagnostic species set,2. broadleaf tree,bettre,Betula trees,Betula neoalaskana
TRUE,TRUE,diagnostic species set,2. broadleaf tree,bettre,Betula trees,Betula papyrifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Betula kenaica
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Betula neoalaskana
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Betula papyrifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Malus fusca
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Populus
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Populus balsamifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Populus tremuloides
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,Populus trichocarpa
TRUE,TRUE,diagnostic species set,2. broadleaf tree,brotre,broadleaf trees,tree broadleaf
TRUE,TRUE,diagnostic species set,2. broadleaf tree,poptre,Populus tremuloides,Populus tremuloides
TRUE,TRUE,diagnostic species set,2. broadleaf tree,populbt,Populus balsamifera + trichocarpa,Populus balsamifera
TRUE,TRUE,diagnostic species set,2. broadleaf tree,populbt,Populus balsamifera + trichocarpa,Populus trichocarpa
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alnus shrubs,Alnus
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alnus shrubs,Alnus alnobetula
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alnus shrubs,Alnus alnobetula ssp. fruticosa
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alnus shrubs,Alnus alnobetula ssp. sinuata
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alnus shrubs,Alnus incana
TRUE,TRUE,diagnostic species set,3. shrub,alnus,Alnus shrubs,Alnus incana ssp. tenuifolia
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,broadleaf deciduous ericaceous shrubs,Vaccinium alaskaense
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,broadleaf deciduous ericaceous shrubs,Vaccinium caespitosum
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,broadleaf deciduous ericaceous shrubs,Vaccinium membranaceum
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,broadleaf deciduous ericaceous shrubs,Vaccinium ovalifolium
FALSE,TRUE,diagnostic species set,3. shrub,bderishr,broadleaf deciduous ericaceous shrubs,Vaccinium parvifolium
TRUE,TRUE,diagnostic species set,3. shrub,betshr,Betula shrubs,Betula glandulosa
TRUE,TRUE,diagnostic species set,3. shrub,betshr,Betula shrubs,Betula nana
TRUE,TRUE,diagnostic species set,3. shrub,betshr,Betula shrubs,Betula nana ssp. exilis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix alaxensis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix alaxensis var. alaxensis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix alaxensis var. longistylis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix arbusculoides
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix athabascensis
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix barclayi
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix barrattiana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix bebbiana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix candida
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix commutata
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix glauca
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix glauca ssp. acutifolia
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix glauca ssp. stipulifera
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix hastata
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix hookeriana
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix interior
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix lasiandra
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix lasiandra var. caudata
TRUE,TRUE,diagnostic species set,3. shrub,ndsalix,non-dwarf Salix shrubs,Salix lasiandra var. lasiandra
